TransactionID,BuyerID,SellerID,Amount(INR),Date
1,U6O4,7ECE,597603,2022-03-06
2,FODN,IRAF,896090,2022-02-17
3,HC2X,XSW4,870074,2022-01-25
4,SJ3C,IWKF,440453,2022-03-28
5,3TSM,MSN5,86508,2022-01-18
6,35BX,MCW1,348877,2022-01-27
7,HAL8,00P5,609994,2022-03-30
8,YX94,FRZI,404107,2022-03-28
9,67H5,VKJY,427897,2022-02-12
10,YV5Y,J1LT,86404,2022-02-18
11,OOU7,GTJ5,378048,2022-01-27
12,Y0LX,7ALF,919350,2022-01-28
13,YVWF,WPSV,132626,2022-03-26
14,GTG6,K49U,324403,2022-03-02
15,9SMK,VEP4,6435,2022-03-10
16,LMU8,8CUV,28231,2022-03-13
17,A27J,275G,256957,2022-01-16
18,RCO5,NKN7,618049,2022-02-16
19,DPQL,T97R,231930,2022-03-31
20,8GID,RHOZ,249032,2022-03-20
21,QVMQ,R7H2,688522,2022-02-20
22,9XDN,05MT,450197,2022-02-10
23,BISI,OYBV,829354,2022-03-26
24,GM2A,ZI76,411703,2022-01-26
25,ZNG0,3XKP,208678,2022-01-29
26,TC9C,M3F4,233932,2022-03-21
27,LYAU,KO8P,380757,2022-01-17
28,28TU,0E3S,539465,2022-02-14
29,54D6,VP3O,564212,2022-01-23
30,PG1I,T767,425927,2022-03-25
31,DU59,5KUW,365252,2022-02-10
32,QK2K,CV04,582989,2022-01-23
33,PFZJ,HGIC,987814,2022-01-24
34,PKOL,56VT,34907,2022-01-03
35,M13H,GUR5,558177,2022-01-14
36,HFXT,TZZG,876325,2022-03-21
37,TOGM,5PI9,68936,2022-02-22
38,45P1,UV5J,23224,2022-02-11
39,SN0R,B2FU,869518,2022-02-01
40,2WOU,ETU2,43476,2022-01-09
41,S0NV,U7IW,604488,2022-01-18
42,UUQV,AAWP,635719,2022-03-31
43,3LAM,CBR2,699824,2022-01-10
44,6OLV,N372,442605,2022-03-22
45,WRFD,LDJI,153462,2022-01-15
46,3RGN,QKVK,168381,2022-01-28
47,YIMX,QJ3D,626518,2022-01-23
48,DJ9C,SU4C,850507,2022-01-19
49,FR7K,8UVH,634428,2022-01-27
50,4M91,GRH0,294621,2022-02-04
51,LY2G,D3KN,242253,2022-02-18
52,BM3K,5UL4,595301,2022-02-18
53,DW1X,GUT1,305272,2022-02-09
54,8CIR,FI1D,756822,2022-01-14
55,G0H0,XGY3,355787,2022-02-27
56,RFR1,7ME2,727540,2022-01-27
57,RZR5,Q2Q7,164301,2022-02-25
58,6DIL,QAB0,486711,2022-02-06
59,373S,GUR5,644041,2022-01-04
60,IP34,08C3,162722,2022-02-21
61,U0V6,XK5B,169557,2022-02-10
62,22CV,2G09,134430,2022-03-09
63,9WW2,657X,259683,2022-01-23
64,M3F4,MIPX,480532,2022-02-26
65,DN9E,MLXI,236104,2022-02-16
66,WW6F,TSLY,852990,2022-03-17
67,RZXW,TDLG,295384,2022-02-23
68,ZSC8,WPJR,498676,2022-01-27
69,OUSQ,HXQM,588861,2022-02-05
70,WS61,9AR4,841939,2022-03-29
71,612T,FWHK,985419,2022-01-24
72,U04Q,86GV,467506,2022-03-29
73,2E7O,QVV4,136081,2022-01-14
74,WWV2,YB8D,30114,2022-03-04
75,P4A5,WQGN,977578,2022-03-15
76,LQQ4,62XZ,784282,2022-01-28
77,3BIY,100M,591158,2022-03-26
