TransactionID,BuyerID,SellerID,Amount(INR),Date
1,FHFH,4RXR,669641,01-01-2022
2,BZEV,D3O4,516438,01-01-2022
3,LRMS,HP4R,48259,01-01-2022
4,NDG6,8XLI,525294,01-01-2022
5,YS2K,EIT0,774439,01-01-2022
6,M5JI,9W3H,487360,01-01-2022
7,XYSH,FX35,575995,01-01-2022
8,4A8O,4GL9,833299,01-01-2022
9,QZLE,STIA,219395,01-01-2022
10,XLSP,UKZZ,155499,01-01-2022
11,JNER,Y1EP,668517,01-01-2022
12,UUXE,PRNP,839990,01-01-2022
13,IFHR,A2OT,121918,01-01-2022
14,XZC8,TGU7,675839,01-01-2022
15,NM70,3XVY,34276,01-01-2022
16,9WQQ,O3IW,742825,01-01-2022
17,RLQQ,MHB2,411242,01-01-2022
18,W2Y0,PER3,643559,01-01-2022
19,M1Z8,I7TV,176014,01-01-2022
20,7O6S,LCOU,372503,01-01-2022
21,LLDE,D0A6,300510,01-01-2022
22,JYAW,D5NQ,176063,01-01-2022
23,BB4I,ZUBG,169156,01-01-2022
24,LRD0,NOCH,658810,01-01-2022
25,O36S,INJV,198605,01-01-2022
26,3UG3,274M,536933,01-01-2022
27,129W,MN7E,810949,01-01-2022
28,EKR5,RDTO,821149,01-01-2022
29,7RVQ,PI3K,142304,01-01-2022
30,LPPZ,D2UP,702232,01-01-2022
31,EBDR,RS4A,940173,01-01-2022
32,G4KU,TDKD,462557,01-01-2022
33,O3CA,E0J8,15660,01-01-2022
34,KMIE,DLM7,537890,01-01-2022
35,O302,58O8,190677,01-01-2022
36,FNEC,A987,60238,01-01-2022
37,8QG3,O6Z6,460139,01-01-2022
38,N69D,N6CN,686582,01-01-2022
39,7NJR,ZFTZ,783526,01-01-2022
40,X56D,TXA4,886819,01-01-2022
41,ANRR,XMDB,87284,01-01-2022
42,B0UO,M0KW,588055,01-01-2022
43,5KE0,FSUJ,979014,01-01-2022
44,LUY1,DO5Y,419227,01-01-2022
45,NVRI,1NA1,340936,01-01-2022
46,D0FJ,0V5E,406497,01-01-2022
47,1M7M,1IYO,675854,01-01-2022
48,ZO0J,RNGP,196403,01-01-2022
49,7R9C,UTMJ,354690,01-01-2022
50,DN46,OCGX,998705,01-01-2022
51,MA8G,EN6H,657444,01-01-2022
52,2B31,QT2L,527134,01-01-2022
53,9PGQ,KK0H,148621,01-01-2022
54,Z36D,YKRP,977010,01-01-2022
55,J6GP,MOY9,818931,01-01-2022
56,RQJT,HWH6,518266,01-01-2022
57,402L,CI74,190157,01-01-2022
58,DHWF,6S5X,440676,01-01-2022
59,WZIR,BGS0,953454,01-01-2022
60,PQEA,KPIV,933327,01-01-2022
61,INVT,CNQM,222632,01-01-2022
62,3CNW,J8B9,509063,01-01-2022
63,VUY7,XO0W,270896,01-01-2022
64,W9GY,SXBF,51781,01-01-2022
65,57OD,YYR7,756726,01-01-2022
66,1U29,GNCO,199535,01-01-2022
67,DNND,E8I9,512679,01-01-2022
68,NC4N,HNW0,789373,01-01-2022
69,SEKH,FD47,940710,01-01-2022
70,8IGS,VAAS,616432,01-01-2022
71,6MGD,9X65,173807,01-01-2022
72,2DV0,6199,878818,01-01-2022
73,F29N,6GMF,191372,01-01-2022
74,PJSC,9FTT,873294,01-01-2022
75,TV42,RWBF,535350,01-01-2022
76,6P4O,X6OD,188807,01-01-2022
77,SEYA,2WA3,644229,01-01-2022
78,2838,D5WY,652118,01-01-2022
79,B6N0,LDLR,322642,01-01-2022
80,LAXN,0WL3,398708,01-01-2022
81,29PM,QIV2,700819,01-01-2022
82,5HHZ,ZEDT,349711,01-01-2022
83,2R30,JZXY,684713,01-01-2022
84,HZAG,3GH2,759469,01-01-2022
85,SA3N,IM9N,590610,01-01-2022
86,OIAD,WPCB,947901,01-01-2022
87,X18V,129W,890607,01-01-2022
88,D01S,YVAG,169431,01-01-2022
89,K0YJ,1RKM,480490,01-01-2022
90,PBCT,MB24,313044,01-01-2022
91,92BQ,W1BP,553975,01-01-2022
92,3ES4,CQW6,679354,01-01-2022
93,0DN0,Q4HT,999037,01-01-2022
94,K3V1,H1QZ,270645,01-01-2022
95,RRRU,JHGK,697801,01-01-2022
96,17TQ,5X1B,842248,01-01-2022
97,C3JF,T826,968205,01-01-2022
98,E8D8,H5QI,330470,01-01-2022
99,O09M,FX35,383568,01-01-2022
100,ZIGQ,7H1C,111980,01-01-2022
101,SJV0,87UI,393919,01-01-2022
102,UT47,CVIV,901835,01-01-2022
103,WEBO,D3O4,908794,01-01-2022
104,U0PO,4H1G,721743,01-01-2022
105,NMY0,ES92,954936,01-01-2022
106,PQX6,F4US,403885,01-01-2022
107,7TNQ,T9P5,775656,01-01-2022
108,AUPD,1UD7,102263,01-01-2022
109,TWAH,NY12,835459,01-01-2022
110,Y015,03P4,137409,01-01-2022
111,Y0WP,B7TN,438118,01-01-2022
112,XFD1,95KY,545263,01-01-2022
113,OT3A,SSM3,422290,01-01-2022
114,Y7PD,PY01,298750,01-01-2022
115,FFVU,K8LE,172194,01-01-2022
116,0WLF,8Z00,853960,01-01-2022
117,8L5M,3R2T,566517,01-01-2022
118,O0NC,CC2A,535781,01-01-2022
119,DS0R,I8MC,528345,01-01-2022
120,LX1C,SE63,792086,01-01-2022
121,YCV3,K83H,192056,01-01-2022
122,Q24M,02OH,62454,01-01-2022
123,4E8G,GD2Y,117424,01-01-2022
124,BRNV,Y2CR,823247,01-01-2022
125,O4U2,CUAY,481520,01-01-2022
126,F2PZ,4JF4,254315,01-01-2022
127,57LL,I0I9,452639,01-01-2022
128,JGSR,BWJA,975034,01-01-2022
129,FBLV,ZKZH,822875,01-01-2022
130,F6UL,G0TL,93045,01-01-2022
131,OF1M,06K7,73528,01-01-2022
132,VY9T,3XUL,213827,01-01-2022
133,MVAV,XQ57,185386,01-01-2022
134,P5ZQ,B7H6,83598,01-01-2022
135,M3KF,PN00,560481,01-01-2022
136,CMKV,KHOP,390053,01-01-2022
137,8GZL,08BT,425287,01-01-2022
138,RXH2,IPK9,455373,01-01-2022
139,3K6J,67N5,633528,01-01-2022
140,8L8E,7J2L,61652,01-01-2022
141,8DZY,F93A,34996,01-01-2022
142,HNSD,7JNP,761816,01-01-2022
143,ZIRU,GNBP,649460,01-01-2022
144,WLM2,VPWC,73836,01-01-2022
145,2R8J,QTOW,894728,01-01-2022
146,MONN,ICSU,34544,01-01-2022
147,UWGH,1M7S,106557,01-01-2022
148,8M7K,78RZ,166425,01-01-2022
149,CLE9,CCQ3,918286,01-01-2022
150,RI1H,4IA2,994123,01-01-2022
151,QIWX,LQMF,236192,01-01-2022
152,OV1M,D21T,287488,01-01-2022
153,L73S,QZGO,201763,02-01-2022
154,5N0O,7CL6,399769,02-01-2022
155,H9NY,UPSU,797078,02-01-2022
156,KFZT,QCU2,504055,02-01-2022
157,3Y9M,7GMV,432171,02-01-2022
158,WJ1M,2SJS,944696,02-01-2022
159,TTE0,1XDV,647011,02-01-2022
160,VSBB,P4DV,166706,02-01-2022
161,87MR,X56D,801223,02-01-2022
162,9IQ5,UKZZ,498564,02-01-2022
163,J6XQ,8HLK,164246,02-01-2022
164,1ZN0,C2NV,244345,02-01-2022
165,KAHB,UBC3,693403,02-01-2022
166,6P22,AC16,827321,02-01-2022
167,WHE9,TZK0,32720,02-01-2022
168,XAM4,SKKC,141014,02-01-2022
169,JDK9,LBPB,757697,02-01-2022
170,XLRB,VP37,856397,02-01-2022
171,ZX6T,4N9B,908373,02-01-2022
172,9Q5G,CEWB,448355,02-01-2022
173,1NB8,LL2D,305865,02-01-2022
174,PTOJ,U6I7,869382,02-01-2022
175,OZNE,B447,410714,02-01-2022
176,O3KG,PMFB,456646,02-01-2022
177,TQEJ,MUKC,638972,02-01-2022
178,4MSV,SYQ9,651514,02-01-2022
179,ADDU,KXK9,82205,02-01-2022
180,7XWJ,ZUML,935378,02-01-2022
181,D7LC,H41Z,503387,02-01-2022
182,XF6Z,JIQV,238238,02-01-2022
183,MG1H,2UZZ,348193,02-01-2022
184,IG8I,5HLH,491646,02-01-2022
185,R2I7,5A3B,548624,02-01-2022
186,JMIL,TQ9M,558888,02-01-2022
187,5JZW,V81C,922959,02-01-2022
188,IVDM,Y1S6,24538,02-01-2022
189,PTRL,GR49,19327,02-01-2022
190,T1XN,H6FD,799320,02-01-2022
191,JKKX,D056,799254,02-01-2022
192,Q429,HCZ9,753738,02-01-2022
193,L3MF,6IKV,592565,02-01-2022
194,LUIM,UQ91,211601,02-01-2022
195,YP9O,K0YJ,200065,02-01-2022
196,JQKA,2CRD,331877,02-01-2022
197,5SBG,EOX8,316961,02-01-2022
198,084G,WAWG,62492,02-01-2022
199,S2Q6,Z59X,628031,02-01-2022
200,47XX,EAF7,840143,02-01-2022
201,B1GI,55S4,829432,02-01-2022
202,2BQE,UP5V,346362,02-01-2022
203,VJ3F,8JVJ,969080,02-01-2022
204,RI62,SEOE,715082,02-01-2022
205,8MOK,ZFTZ,564497,02-01-2022
206,J3YJ,5DQE,459736,02-01-2022
207,SWGQ,8VP2,920891,02-01-2022
208,GL26,8FPX,425522,02-01-2022
209,B1XP,7IB3,970836,02-01-2022
210,3QWP,RLWC,655857,02-01-2022
211,34DC,OY7E,928172,02-01-2022
212,QP7A,7DR5,468441,02-01-2022
213,VL9F,9L7Q,869651,02-01-2022
214,HRWB,Z6O0,517141,02-01-2022
215,RPN0,4ZN2,432789,02-01-2022
216,TVR3,EIY7,494900,02-01-2022
217,YLAC,YQB0,348064,02-01-2022
218,ZCWQ,FXE8,125827,02-01-2022
219,0M7G,1OSU,879298,02-01-2022
220,CP9R,MSJB,902020,02-01-2022
221,6AAN,G3E4,923717,02-01-2022
222,ZU4V,S6IV,895090,02-01-2022
223,TO4J,F6UL,710501,02-01-2022
224,DA6W,E5PF,370453,02-01-2022
225,U9VF,H25A,208943,02-01-2022
226,ZOD7,LZ19,757444,02-01-2022
227,ON1C,QA5I,285393,02-01-2022
228,FZF0,LK6C,152155,02-01-2022
229,3I77,6KVE,28375,02-01-2022
