TransactionID,SellerID,BuyerID,Amount(INR),Date
txn_1,TxUI287,TxUI40220,32932,08-11-2010
txn_2,TxUI11968,TxUI270,249760,10-11-2010
txn_3,TxUI27156,TxUI287,699984,12-11-2010
txn_4,TxUI1092,TxUI247,597224,23-11-2010
txn_5,TxUI112728,TxUI247,76747,25-11-2010
txn_6,TxUI251,TxUI112773,39638,25-11-2010
txn_7,TxUI11351,TxUI417,437940,26-11-2010
txn_8,TxUI454,TxUI11324,267603,26-11-2010
txn_9,TxUI226,TxUI16873,299223,28-11-2010
txn_10,TxUI114,TxUI11316,32240,29-11-2010
txn_11,TxUI163283,TxUI216,281490,29-11-2010
txn_12,TxUI268,TxUI1010,172755,29-11-2010
txn_13,TxUI280,TxUI163262,165106,29-11-2010
txn_14,TxUI182,TxUI243,35347,30-11-2010
txn_15,TxUI16843,TxUI298,653319,01-12-2010
txn_16,TxUI47197,TxUI271,160644,02-12-2010
txn_17,TxUI454,TxUI9945,115574,03-12-2010
txn_18,TxUI9192,TxUI417,264519,05-12-2010
txn_19,TxUI1066,TxUI499,88947,07-12-2010
txn_20,TxUI456,TxUI1099,75247,07-12-2010
txn_21,TxUI12190,TxUI461,163016,14-12-2010
txn_22,TxUI464,TxUI12155,183261,14-12-2010
txn_23,TxUI9999,TxUI413,79760,18-12-2010
txn_24,TxUI71055,TxUI243,193172,21-12-2010
txn_25,TxUI217,TxUI71016,169412,21-12-2010
txn_26,TxUI11972,TxUI421,106435,24-12-2010
txn_27,TxUI62583,TxUI124,103266,27-12-2010
txn_28,TxUI121,TxUI74435,60605,27-12-2010
txn_29,TxUI137,TxUI62535,71274,27-12-2010
txn_30,TxUI43981,TxUI483,87435,27-12-2010
txn_31,TxUI449,TxUI43913,105500,27-12-2010
txn_32,TxUI120916,TxUI489,48052,29-12-2010
txn_33,TxUI427,TxUI31277,56030,29-12-2010
txn_34,TxUI467,TxUI120955,91287,29-12-2010
txn_35,TxUI51288,TxUI261,68859,30-12-2010
txn_36,TxUI226,TxUI51262,31497,30-12-2010
txn_37,TxUI91717,TxUI251,24574,03-01-2011
txn_38,TxUI235,TxUI91741,60044,03-01-2011
txn_39,TxUI74436,TxUI162,65176,09-01-2011
txn_40,TxUI50140,TxUI414,50610,13-01-2011
txn_41,TxUI43614,TxUI263,47641,16-01-2011
txn_42,TxUI255,TxUI43686,14962,16-01-2011
txn_43,TxUI53221,TxUI439,48840,24-01-2011
txn_44,TxUI483,TxUI53267,19839,24-01-2011
txn_45,TxUI7441,TxUI459,448495,26-01-2011
txn_46,TxUI44661,TxUI451,75414,26-01-2011
txn_47,TxUI469,TxUI44622,51472,26-01-2011
txn_48,TxUI76811,TxUI254,134802,31-01-2011
txn_49,TxUI76827,TxUI484,361420,31-01-2011
txn_50,TxUI475,TxUI76832,113524,31-01-2011
txn_51,TxUI120975,TxUI270,128110,02-02-2011
txn_52,TxUI211,TxUI5488,166632,02-02-2011
txn_53,TxUI256,TxUI7415,164154,02-02-2011
txn_54,TxUI262,TxUI120928,171010,02-02-2011
txn_55,TxUI29336,TxUI226,290343,03-02-2011
txn_56,TxUI190912,TxUI482,89428,03-02-2011
txn_57,TxUI493,TxUI190931,52876,03-02-2011
txn_58,TxUI44641,TxUI226,93841,09-02-2011
txn_59,TxUI210372,TxUI455,54137,10-02-2011
txn_60,TxUI469,TxUI210358,28110,10-02-2011
txn_61,TxUI492,TxUI2397,116070,11-02-2011
txn_62,TxUI457,TxUI23761,148144,11-02-2011
txn_63,TxUI23726,TxUI447,77067,12-02-2011
txn_64,TxUI37926,TxUI255,38909,13-02-2011
txn_65,TxUI231,TxUI37966,63994,13-02-2011
txn_66,TxUI269832,TxUI268,43165,15-02-2011
txn_67,TxUI276,TxUI269863,68928,15-02-2011
txn_68,TxUI71068,TxUI465,257091,17-02-2011
txn_69,TxUI471,TxUI71089,196656,17-02-2011
txn_70,TxUI76923,TxUI286,91886,18-02-2011
txn_71,TxUI224,TxUI44643,172680,18-02-2011
txn_72,TxUI255,TxUI76913,98876,18-02-2011
txn_73,TxUI127041,TxUI471,62355,19-02-2011
txn_74,TxUI429,TxUI127019,159720,19-02-2011
txn_75,TxUI469,TxUI238,539091,21-02-2011
txn_76,TxUI214,TxUI481,370953,21-02-2011
txn_77,TxUI448,TxUI53122,10428,26-02-2011
txn_78,TxUI140152,TxUI295,147610,27-02-2011
txn_79,TxUI256,TxUI31276,78516,28-02-2011
txn_80,TxUI19315,TxUI455,20624,02-03-2011
txn_81,TxUI51284,TxUI416,69191,02-03-2011
txn_82,TxUI25130,TxUI440,87119,02-03-2011
txn_83,TxUI490,TxUI19334,81734,02-03-2011
txn_84,TxUI491,TxUI51226,16647,02-03-2011
txn_85,TxUI25096,TxUI439,128416,03-03-2011
txn_86,TxUI190885,TxUI420,96544,03-03-2011
txn_87,TxUI485,TxUI25075,158064,03-03-2011
txn_88,TxUI421,TxUI190820,50600,03-03-2011
txn_89,TxUI181627,TxUI440,26045,04-03-2011
txn_90,TxUI428,TxUI181629,56901,04-03-2011
txn_91,TxUI5428,TxUI256,215080,07-03-2011
txn_92,TxUI37929,TxUI470,53528,07-03-2011
txn_93,TxUI433,TxUI141,72032,09-03-2011
txn_94,TxUI243915,TxUI469,12441,09-03-2011
txn_95,TxUI434,TxUI243944,47793,09-03-2011
txn_96,TxUI84023,TxUI421,75413,12-03-2011
txn_97,TxUI474,TxUI84093,91341,12-03-2011
txn_98,TxUI46870,TxUI460,68156,13-03-2011
txn_99,TxUI429,TxUI46830,51928,13-03-2011
txn_100,TxUI148,TxUI490,34888,15-03-2011
txn_101,TxUI486,TxUI37911,279198,15-03-2011
txn_102,TxUI471,TxUI755087,91602,15-03-2011
txn_103,TxUI140147,TxUI443,186816,16-03-2011
txn_104,TxUI84153,TxUI464,75958,16-03-2011
txn_105,TxUI244267,TxUI449,62347,17-03-2011
txn_106,TxUI477,TxUI244270,29304,17-03-2011
txn_107,TxUI460,TxUI41960,42440,19-03-2011
txn_108,TxUI56298,TxUI484,428260,21-03-2011
txn_109,TxUI476,TxUI84165,62154,21-03-2011
txn_110,TxUI469,TxUI24994,15230,21-03-2011
txn_111,TxUI24934,TxUI418,108782,22-03-2011
txn_112,TxUI41922,TxUI435,168392,23-03-2011
txn_113,TxUI84244,TxUI485,75942,23-03-2011
txn_114,TxUI129,TxUI37989,165408,24-03-2011
txn_115,TxUI436,TxUI84289,86406,24-03-2011
txn_116,TxUI2329,TxUI265,383950,28-03-2011
txn_117,TxUI9962,TxUI215,56400,28-03-2011
txn_118,TxUI98659,TxUI297,75255,28-03-2011
txn_119,TxUI160327,TxUI223,63447,28-03-2011
txn_120,TxUI243,TxUI46991,145761,28-03-2011
txn_121,TxUI275,TxUI98679,51484,28-03-2011
txn_122,TxUI277,TxUI14868,32072,28-03-2011
txn_123,TxUI245,TxUI160360,94840,28-03-2011
txn_124,TxUI2351,TxUI499,514339,28-03-2011
txn_125,TxUI25076,TxUI210,158000,31-03-2011
txn_126,TxUI4455,TxUI240,176590,31-03-2011
txn_127,TxUI239,TxUI4449,79943,31-03-2011
txn_128,TxUI160294,TxUI410,197288,31-03-2011
txn_129,TxUI422,TxUI160272,165333,31-03-2011
txn_130,TxUI31134,TxUI469,246705,02-04-2011
txn_131,TxUI36568,TxUI422,107892,02-04-2011
txn_132,TxUI4544,TxUI213,84687,04-04-2011
txn_133,TxUI275,TxUI4530,75924,04-04-2011
txn_134,TxUI5495,TxUI459,357800,04-04-2011
txn_135,TxUI755093,TxUI410,28721,04-04-2011
txn_136,TxUI483,TxUI755296,510030,04-04-2011
txn_137,TxUI465,TxUI4073,241355,04-04-2011
txn_138,TxUI412,TxUI9129,258880,04-04-2011
txn_139,TxUI449,TxUI5433,469435,04-04-2011
txn_140,TxUI496,TxUI11995,223310,04-04-2011
