TransactionID,SellerID,BuyerID,Amount(INR),Date
txn_1252,TxUI287,TxUI40220,32932,08-11-2010
txn_898,TxUI11968,TxUI270,249760,10-11-2010
txn_897,TxUI27156,TxUI287,699984,12-11-2010
txn_899,TxUI1092,TxUI247,597224,23-11-2010
txn_986,TxUI112728,TxUI247,76747,25-11-2010
txn_1165,TxUI251,TxUI112773,39638,25-11-2010
txn_1794,TxUI11351,TxUI417,437940,26-11-2010
txn_2032,TxUI454,TxUI11324,267603,26-11-2010
txn_1070,TxUI226,TxUI16873,299223,28-11-2010
txn_445,TxUI114,TxUI11316,32240,29-11-2010
txn_954,TxUI163283,TxUI216,281490,29-11-2010
txn_1126,TxUI268,TxUI1010,172755,29-11-2010
txn_1162,TxUI280,TxUI163262,165106,29-11-2010
txn_859,TxUI182,TxUI243,35347,30-11-2010
txn_889,TxUI16843,TxUI298,653319,01-12-2010
txn_953,TxUI47197,TxUI271,160644,02-12-2010
txn_2087,TxUI454,TxUI9945,115574,03-12-2010
txn_1836,TxUI9192,TxUI417,264519,05-12-2010
txn_1953,TxUI1066,TxUI499,88947,07-12-2010
txn_2160,TxUI456,TxUI1099,75247,07-12-2010
txn_1812,TxUI12190,TxUI461,163016,14-12-2010
txn_2031,TxUI464,TxUI12155,183261,14-12-2010
txn_1884,TxUI9999,TxUI413,79760,18-12-2010
txn_983,TxUI71055,TxUI243,193172,21-12-2010
txn_1161,TxUI217,TxUI71016,169412,21-12-2010
txn_1795,TxUI11972,TxUI421,106435,24-12-2010
txn_50,TxUI62583,TxUI124,103266,27-12-2010
txn_446,TxUI121,TxUI74435,60605,27-12-2010
txn_447,TxUI137,TxUI62535,71274,27-12-2010
txn_1952,TxUI43981,TxUI483,87435,27-12-2010
txn_2086,TxUI449,TxUI43913,105500,27-12-2010
txn_1951,TxUI120916,TxUI489,48052,29-12-2010
txn_1973,TxUI427,TxUI31277,56030,29-12-2010
txn_2159,TxUI467,TxUI120955,91287,29-12-2010
txn_1067,TxUI51288,TxUI261,68859,30-12-2010
txn_1251,TxUI226,TxUI51262,31497,30-12-2010
txn_982,TxUI91717,TxUI251,24574,03-01-2011
txn_1160,TxUI235,TxUI91741,60044,03-01-2011
txn_126,TxUI74436,TxUI162,65176,09-01-2011
txn_1834,TxUI50140,TxUI414,50610,13-01-2011
txn_1066,TxUI43614,TxUI263,47641,16-01-2011
txn_1250,TxUI255,TxUI43686,14962,16-01-2011
txn_1950,TxUI53221,TxUI439,48840,24-01-2011
txn_2158,TxUI483,TxUI53267,19839,24-01-2011
txn_1792,TxUI7441,TxUI459,448495,26-01-2011
txn_1949,TxUI44661,TxUI451,75414,26-01-2011
txn_2157,TxUI469,TxUI44622,51472,26-01-2011
txn_951,TxUI76811,TxUI254,134802,31-01-2011
txn_1811,TxUI76827,TxUI484,361420,31-01-2011
txn_2085,TxUI475,TxUI76832,113524,31-01-2011
txn_981,TxUI120975,TxUI270,128110,02-02-2011
txn_1078,TxUI211,TxUI5488,166632,02-02-2011
txn_1088,TxUI256,TxUI7415,164154,02-02-2011
txn_1159,TxUI262,TxUI120928,171010,02-02-2011
txn_950,TxUI29336,TxUI226,290343,03-02-2011
txn_1948,TxUI190912,TxUI482,89428,03-02-2011
txn_2156,TxUI493,TxUI190931,52876,03-02-2011
txn_1065,TxUI44641,TxUI226,93841,09-02-2011
